Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2022,11,IQ Primaria,SAN PEDRO DE MACORIS,2,28.1,5
2022,11,IQ Primaria,SANTIAGO,2,21.0,3
2022,11,IQ Primaria,SANTO DOMINGO,19,84.3,39
2022,11,IQ Primaria,Sin ubicación,36,409.4,83
2022,11,IQ Secundaria,AZUA,6,14.5,9
2022,11,IQ Secundaria,BARAHONA,3,37.0,4
2022,11,IQ Secundaria,COTUI,1,8.5,1
2022,11,IQ Secundaria,HIGUEY,9,9.5,9
2022,11,IQ Secundaria,LA VEGA,7,26.0,12
2022,11,IQ Secundaria,MONTE CRISTI,1,4.6,3
2022,11,IQ Secundaria,MONTE PLATA,2,0.5,2
2022,11,IQ Secundaria,NAGUA,11,67.5,14
2022,11,IQ Secundaria,PUERTO PLATA,2,2.4,2
2022,11,IQ Secundaria,SAN CRISTOBAL,9,10.3,9
2022,11,IQ Secundaria,SAN FRANCISCO DE MACORIS,8,35.3,8
2022,11,IQ Secundaria,SAN JUAN DE LA MAGUANA,2,5.6,3
2022,11,IQ Secundaria,SAN PEDRO DE MACORIS,11,82.3,13
2022,11,IQ Secundaria,SANTIAGO,48,432.5,85
2022,11,IQ Secundaria,SANTO DOMINGO,181,1210.6,281
2022,11,IQ Secundaria,Sin ubicación,68,530.3,127
2022,12,512,AZUA,14,53.0,14
2022,12,512,BAHORUCO,5,29.1,6
2022,12,512,BARAHONA,11,38.0,11
2022,12,512,COTUI,10,40.9,10
2022,12,512,HIGUEY,7,19.9,7
2022,12,512,LA VEGA,28,104.5,28
2022,12,512,MAO,2,6.1,2
2022,12,512,MONTE CRISTI,8,31.2,8
2022,12,512,MONTE PLATA,4,24.9,4
2022,12,512,NAGUA,4,15.0,4
2022,12,512,PUERTO PLATA,10,34.4,10
2022,12,512,SAN CRISTOBAL,23,121.5,23
2022,12,512,SAN FRANCISCO DE MACORIS,11,42.7,11
2022,12,512,SAN JUAN DE LA MAGUANA,9,41.3,9
2022,12,512,SAN PEDRO DE MACORIS,14,53.9,14
2022,12,512,SANTIAGO,14,46.4,14
2022,12,512,SANTO DOMINGO,135,366.0,138
2022,12,512,Sin ubicación,57,315.0,69
2022,12,IQ Primaria,AZUA,2,3.3,4
2022,12,IQ Primaria,BARAHONA,6,59.2,20
2022,12,IQ Primaria,MAO,2,4.7,3
2022,12,IQ Primaria,SANTO DOMINGO,6,31.1,17
2022,12,IQ Primaria,Sin ubicación,24,454.5,57
2022,12,IQ Secundaria,AZUA,3,5.2,3
2022,12,IQ Secundaria,BAHORUCO,3,4.2,3
2022,12,IQ Secundaria,BARAHONA,5,8.2,5
2022,12,IQ Secundaria,HIGUEY,3,4.3,3
2022,12,IQ Secundaria,LA VEGA,6,4.4,7
2022,12,IQ Secundaria,MAO,1,1.1,1
2022,12,IQ Secundaria,MONTE CRISTI,1,0.9,1
2022,12,IQ Secundaria,MONTE PLATA,1,9.6,1
2022,12,IQ Secundaria,NAGUA,1,7.3,2
2022,12,IQ Secundaria,PUERTO PLATA,1,4.1,1
2022,12,IQ Secundaria,SAN FRANCISCO DE MACORIS,6,12.5,7
2022,12,IQ Secundaria,SAN PEDRO DE MACORIS,2,12.7,3
2022,12,IQ Secundaria,SANTIAGO,36,198.8,53
2022,12,IQ Secundaria,SANTO DOMINGO,94,353.8,139
2022,12,IQ Secundaria,Sin ubicación,53,182.4,73
2023,1,512,AZUA,48,3677.7,276
2023,1,512,BAHORUCO,22,1715.4,166
2023,1,512,BARAHONA,43,2805.9,233
2023,1,512,COTUI,28,2414.4,180
2023,1,512,HIGUEY,19,919.6,79
2023,1,512,LA VEGA,55,3340.4,283
2023,1,512,MAO,15,1078.5,106
2023,1,512,MONTE CRISTI,17,1382.0,110
2023,1,512,MONTE PLATA,11,987.1,64
2023,1,512,NAGUA,15,1522.0,110
2023,1,512,PUERTO PLATA,16,891.7,96
2023,1,512,SAN CRISTOBAL,46,3946.2,289
2023,1,512,SAN FRANCISCO DE MACORIS,25,1897.6,156
