Anio,Semestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,S2,IQP,Estudiante,5to grado,AZUA,1,53.2,18
2022,S2,IQP,Estudiante,5to grado,BARAHONA,1,23.1,21
2022,S2,IQP,Estudiante,5to grado,LA VEGA,2,19.0,9
2022,S2,IQP,Estudiante,5to grado,MAO,1,1.5,1
2022,S2,IQP,Estudiante,5to grado,SANTIAGO,1,0.5,1
2022,S2,IQP,Estudiante,5to grado,SANTO DOMINGO,7,25.7,13
2022,S2,IQP,Estudiante,5to grado,Sin ubicación,14,73.0,28
2022,S2,IQP,Estudiante,6to grado,AZUA,2,2.0,2
2022,S2,IQP,Estudiante,6to grado,BAHORUCO,2,0.6,2
2022,S2,IQP,Estudiante,6to grado,BARAHONA,2,23.2,6
2022,S2,IQP,Estudiante,6to grado,HIGUEY,5,3.6,5
2022,S2,IQP,Estudiante,6to grado,LA VEGA,1,0.5,2
2022,S2,IQP,Estudiante,6to grado,MAO,1,15.0,17
2022,S2,IQP,Estudiante,6to grado,MONTE PLATA,2,3.3,2
2022,S2,IQP,Estudiante,6to grado,NAGUA,5,64.4,24
2022,S2,IQP,Estudiante,6to grado,PUERTO PLATA,1,0.0,1
2022,S2,IQP,Estudiante,6to grado,SAN CRISTOBAL,1,0.3,3
2022,S2,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,S2,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,9.5,2
2022,S2,IQP,Estudiante,6to grado,SAN PEDRO DE MACORIS,3,9.2,4
2022,S2,IQP,Estudiante,6to grado,SANTIAGO,4,30.9,14
2022,S2,IQP,Estudiante,6to grado,SANTO DOMINGO,32,116.7,62
2022,S2,IQP,Estudiante,6to grado,Sin ubicación,64,292.7,110
2022,S2,IQP,Parent,1er grado,Sin ubicación,1,0.6,1
2022,S2,IQP,Parent,No especificado,Sin ubicación,5,14.1,9
2022,S2,IQP,Sin rol,No especificado,Sin ubicación,1,1466.2,105
2022,S2,IQS,Admin,No especificado,Sin ubicación,1,77.2,23
2022,S2,IQS,Docente,1er grado,AZUA,2,1.2,3
2022,S2,IQS,Docente,1er grado,BAHORUCO,1,0.7,1
2022,S2,IQS,Docente,1er grado,HIGUEY,1,0.3,1
2022,S2,IQS,Docente,1er grado,MONTE CRISTI,1,0.9,1
2022,S2,IQS,Docente,1er grado,NAGUA,1,7.3,2
2022,S2,IQS,Docente,1er grado,PUERTO PLATA,1,0.1,1
2022,S2,IQS,Docente,1er grado,SAN FRANCISCO DE MACORIS,1,7.3,2
2022,S2,IQS,Docente,1er grado,SAN PEDRO DE MACORIS,2,11.6,2
2022,S2,IQS,Docente,1er grado,SANTIAGO,5,26.9,8
2022,S2,IQS,Docente,1er grado,SANTO DOMINGO,12,26.2,19
2022,S2,IQS,Docente,1er grado,Sin ubicación,17,103.9,34
2022,S2,IQS,Docente,3er grado,Sin ubicación,1,0.5,1
2022,S2,IQS,Docente,4to grado,AZUA,1,33.9,7
2022,S2,IQS,Docente,6to grado,AZUA,2,4.4,3
2022,S2,IQS,Docente,6to grado,BAHORUCO,1,7.5,2
2022,S2,IQS,Docente,6to grado,COTUI,2,11.8,4
2022,S2,IQS,Docente,6to grado,LA VEGA,1,0.3,1
2022,S2,IQS,Docente,6to grado,MONTE CRISTI,2,0.8,2
2022,S2,IQS,Docente,6to grado,MONTE PLATA,2,0.5,2
2022,S2,IQS,Docente,6to grado,NAGUA,2,49.6,10
2022,S2,IQS,Docente,6to grado,PUERTO PLATA,1,1.0,1
2022,S2,IQS,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,17.2,5
2022,S2,IQS,Docente,6to grado,SAN JUAN DE LA MAGUANA,1,14.5,1
2022,S2,IQS,Docente,6to grado,SAN PEDRO DE MACORIS,4,25.5,6
2022,S2,IQS,Docente,6to grado,SANTIAGO,1,7.9,2
2022,S2,IQS,Docente,6to grado,SANTO DOMINGO,33,553.2,95
2022,S2,IQS,Docente,6to grado,Sin ubicación,10,154.4,32
2022,S2,IQS,Editor,No especificado,SANTIAGO,1,1370.4,70
2022,S2,IQS,Estudiante,1er grado,NAGUA,4,145.1,28
2022,S2,IQS,Estudiante,1er grado,SANTIAGO,1,0.1,1
2022,S2,IQS,Estudiante,1er grado,SANTO DOMINGO,14,152.9,45
2022,S2,IQS,Estudiante,1er grado,Sin ubicación,20,157.5,43
2022,S2,IQS,Estudiante,2do grado,BARAHONA,1,0.4,1
2022,S2,IQS,Estudiante,2do grado,NAGUA,4,110.1,18
2022,S2,IQS,Estudiante,2do grado,SAN FRANCISCO DE MACORIS,2,0.4,4
2022,S2,IQS,Estudiante,2do grado,SANTO DOMINGO,19,137.4,51
2022,S2,IQS,Estudiante,2do grado,Sin ubicación,13,130.4,23
2022,S2,IQS,Estudiante,3er grado,BARAHONA,1,4.6,2
2022,S2,IQS,Estudiante,3er grado,LA VEGA,3,8.5,5
2022,S2,IQS,Estudiante,3er grado,MONTE PLATA,1,5.5,2
2022,S2,IQS,Estudiante,3er grado,NAGUA,4,213.9,31
2022,S2,IQS,Estudiante,3er grado,SAN PEDRO DE MACORIS,1,14.4,5
2022,S2,IQS,Estudiante,3er grado,SANTIAGO,14,26.3,17
2022,S2,IQS,Estudiante,3er grado,SANTO DOMINGO,22,67.8,38
2022,S2,IQS,Estudiante,3er grado,Sin ubicación,15,150.3,33
2022,S2,IQS,Estudiante,4to grado,BARAHONA,1,2.3,1
2022,S2,IQS,Estudiante,4to grado,HIGUEY,1,6.6,1
2022,S2,IQS,Estudiante,4to grado,LA VEGA,2,11.4,2
2022,S2,IQS,Estudiante,4to grado,MAO,2,5.5,3
2022,S2,IQS,Estudiante,4to grado,NAGUA,2,126.2,18
2022,S2,IQS,Estudiante,4to grado,SAN CRISTOBAL,1,1.8,1
2022,S2,IQS,Estudiante,4to grado,SANTIAGO,16,40.8,28
2022,S2,IQS,Estudiante,4to grado,SANTO DOMINGO,52,528.1,103
2022,S2,IQS,Estudiante,4to grado,Sin ubicación,25,80.5,40
2022,S2,IQS,Estudiante,5to grado,AZUA,1,2.7,1
2022,S2,IQS,Estudiante,5to grado,BAHORUCO,1,2.8,2
2022,S2,IQS,Estudiante,5to grado,BARAHONA,1,1.3,1
2022,S2,IQS,Estudiante,5to grado,HIGUEY,1,0.4,1
2022,S2,IQS,Estudiante,5to grado,LA VEGA,3,20.5,3
2022,S2,IQS,Estudiante,5to grado,MONTE PLATA,1,6.2,3
2022,S2,IQS,Estudiante,5to grado,SANTIAGO,22,158.4,48
2022,S2,IQS,Estudiante,5to grado,SANTO DOMINGO,50,367.7,80
2022,S2,IQS,Estudiante,5to grado,Sin ubicación,22,193.3,48
2022,S2,IQS,Estudiante,6to grado,AZUA,9,19.0,19
2022,S2,IQS,Estudiante,6to grado,BAHORUCO,4,4.7,4
2022,S2,IQS,Estudiante,6to grado,BARAHONA,6,45.4,9
2022,S2,IQS,Estudiante,6to grado,COTUI,1,0.3,1
2022,S2,IQS,Estudiante,6to grado,HIGUEY,13,30.4,15
2022,S2,IQS,Estudiante,6to grado,LA VEGA,31,155.2,52
2022,S2,IQS,Estudiante,6to grado,MONTE CRISTI,1,4.6,3
2022,S2,IQS,Estudiante,6to grado,MONTE PLATA,3,11.3,3
2022,S2,IQS,Estudiante,6to grado,NAGUA,8,194.2,25
2022,S2,IQS,Estudiante,6to grado,PUERTO PLATA,8,60.8,10
2022,S2,IQS,Estudiante,6to grado,SAN CRISTOBAL,16,36.7,22
2022,S2,IQS,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,15,58.0,15
2022,S2,IQS,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,7,17.1,10
2022,S2,IQS,Estudiante,6to grado,SAN PEDRO DE MACORIS,11,57.7,14
2022,S2,IQS,Estudiante,6to grado,SANTIAGO,67,875.3,212
2022,S2,IQS,Estudiante,6to grado,SANTO DOMINGO,196,960.9,355
2022,S2,IQS,Estudiante,6to grado,Sin ubicación,57,272.8,100
2022,S2,IQS,Estudiante,No especificado,Sin ubicación,4,2.5,6
2022,S2,IQS,Invitado,1er grado,Sin ubicación,1,4.6,2
2022,S2,IQS,Invitado,2do grado,Sin ubicación,1,11.9,2
2022,S2,IQS,Invitado,6to grado,SANTO DOMINGO,3,4.1,4
2022,S2,IQS,Invitado,6to grado,Sin ubicación,47,353.3,80
2023,S1,IQ512,Admin,No especificado,Sin ubicación,4,238.0,28
2023,S1,IQ512,Editor,No especificado,Sin ubicación,1,1065.4,82
2023,S1,IQ512,Estudiante,No especificado,AZUA,61,15223.6,1609
2023,S1,IQ512,Estudiante,No especificado,BAHORUCO,26,7832.9,944
