Anio,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,IQS,Estudiante,6to grado,SANTO DOMINGO,196,960.9,355
2022,IQS,Estudiante,6to grado,Sin ubicación,57,272.8,100
2022,IQS,Estudiante,No especificado,Sin ubicación,4,2.5,6
2022,IQS,Invitado,1er grado,Sin ubicación,1,4.6,2
2022,IQS,Invitado,2do grado,Sin ubicación,1,11.9,2
2022,IQS,Invitado,6to grado,SANTO DOMINGO,3,4.1,4
2022,IQS,Invitado,6to grado,Sin ubicación,47,353.3,80
2023,IQ512,Admin,No especificado,Sin ubicación,4,382.3,60
2023,IQ512,Aliado de la Alianza,No especificado,Sin ubicación,1,5.8,2
2023,IQ512,Docente,No especificado,Sin ubicación,2,16.6,3
2023,IQ512,Editor,No especificado,Sin ubicación,1,1209.4,112
2023,IQ512,Estudiante,No especificado,AZUA,64,19059.2,2151
2023,IQ512,Estudiante,No especificado,BAHORUCO,29,9034.8,1156
2023,IQ512,Estudiante,No especificado,BARAHONA,65,18961.8,2320
2023,IQ512,Estudiante,No especificado,COTUI,53,17769.9,1894
2023,IQ512,Estudiante,No especificado,HIGUEY,28,6400.1,651
2023,IQ512,Estudiante,No especificado,LA VEGA,101,24606.2,2848
2023,IQ512,Estudiante,No especificado,MAO,18,6717.0,831
2023,IQ512,Estudiante,No especificado,MONTE CRISTI,28,7124.9,886
2023,IQ512,Estudiante,No especificado,MONTE PLATA,27,6271.8,665
2023,IQ512,Estudiante,No especificado,NAGUA,27,10801.5,1123
2023,IQ512,Estudiante,No especificado,PUERTO PLATA,25,8102.7,909
2023,IQ512,Estudiante,No especificado,SAN CRISTOBAL,85,24238.9,2765
2023,IQ512,Estudiante,No especificado,SAN FRANCISCO DE MACORIS,35,11560.3,1389
2023,IQ512,Estudiante,No especificado,SAN JUAN DE LA MAGUANA,39,9169.4,1000
2023,IQ512,Estudiante,No especificado,SAN PEDRO DE MACORIS,38,10540.9,1221
2023,IQ512,Estudiante,No especificado,SANTIAGO,76,15932.9,1835
2023,IQ512,Estudiante,No especificado,SANTO DOMINGO,383,95875.0,10496
2023,IQ512,Estudiante,No especificado,Sin ubicación,3369,940403.0,105600
2023,IQ512,Sin rol,No especificado,Sin ubicación,1,4.4,1
2023,IQP,Admin,No especificado,Sin ubicación,2,79.8,37
2023,IQP,Docente,1er grado,Sin ubicación,2,2244.7,230
2023,IQP,Docente,2do grado,BAHORUCO,1,11.6,2
2023,IQP,Docente,2do grado,COTUI,4,94.3,20
2023,IQP,Docente,2do grado,HIGUEY,2,8.7,2
2023,IQP,Docente,2do grado,LA VEGA,8,111.4,17
2023,IQP,Docente,2do grado,NAGUA,1,49.3,4
2023,IQP,Docente,2do grado,PUERTO PLATA,1,11.0,2
2023,IQP,Docente,2do grado,SAN CRISTOBAL,3,43.2,8
2023,IQP,Docente,2do grado,SAN FRANCISCO DE MACORIS,1,9.3,2
2023,IQP,Docente,2do grado,SAN PEDRO DE MACORIS,2,38.9,5
2023,IQP,Docente,2do grado,SANTIAGO,10,396.1,66
2023,IQP,Docente,2do grado,SANTO DOMINGO,5,10.2,7
2023,IQP,Docente,2do grado,Sin ubicación,3,39.0,10
2023,IQP,Docente,3er grado,AZUA,1,6.8,1
2023,IQP,Docente,3er grado,BARAHONA,2,2.2,3
2023,IQP,Docente,3er grado,MAO,1,1.1,2
2023,IQP,Docente,3er grado,SAN CRISTOBAL,1,0.5,2
2023,IQP,Docente,3er grado,SANTIAGO,3,78.9,11
2023,IQP,Docente,3er grado,SANTO DOMINGO,1,0.3,1
2023,IQP,Docente,3er grado,Sin ubicación,13,50.5,18
2023,IQP,Docente,4to grado,AZUA,22,127.3,36
2023,IQP,Docente,4to grado,BAHORUCO,6,24.8,8
2023,IQP,Docente,4to grado,BARAHONA,14,91.2,26
2023,IQP,Docente,4to grado,COTUI,15,72.1,26
2023,IQP,Docente,4to grado,HIGUEY,20,224.7,55
2023,IQP,Docente,4to grado,LA VEGA,38,293.2,100
2023,IQP,Docente,4to grado,MAO,12,12.4,15
2023,IQP,Docente,4to grado,MONTE CRISTI,35,313.2,79
2023,IQP,Docente,4to grado,MONTE PLATA,16,31.1,20
2023,IQP,Docente,4to grado,NAGUA,10,33.9,16
2023,IQP,Docente,4to grado,PUERTO PLATA,23,140.4,59
2023,IQP,Docente,4to grado,SAN CRISTOBAL,20,101.2,47
2023,IQP,Docente,4to grado,SAN FRANCISCO DE MACORIS,25,200.1,47
2023,IQP,Docente,4to grado,SAN JUAN DE LA MAGUANA,10,33.7,16
2023,IQP,Docente,4to grado,SAN PEDRO DE MACORIS,35,185.8,71
2023,IQP,Docente,4to grado,SANTIAGO,69,668.1,153
2023,IQP,Docente,4to grado,SANTO DOMINGO,233,1804.1,522
2023,IQP,Docente,4to grado,Sin ubicación,495,2203.5,841
2023,IQP,Docente,5to grado,AZUA,60,804.8,187
