Anio,Mes,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,6,IQP,Estudiante,3er grado,SANTIAGO,1,22.4,1
2022,6,IQP,Estudiante,3er grado,SANTO DOMINGO,32,273.0,72
2022,6,IQP,Estudiante,3er grado,Sin ubicación,23,198.6,55
2022,6,IQP,Estudiante,4to grado,SANTO DOMINGO,2,4.1,9
2022,6,IQP,Estudiante,4to grado,Sin ubicación,3,51.3,9
2022,6,IQP,Estudiante,5to grado,AZUA,1,20.5,3
2022,6,IQP,Estudiante,5to grado,BARAHONA,1,0.8,2
2022,6,IQP,Estudiante,5to grado,LA VEGA,1,7.4,1
2022,6,IQP,Estudiante,5to grado,SANTO DOMINGO,1,8.1,2
2022,6,IQP,Estudiante,5to grado,Sin ubicación,1,0.1,1
2022,6,IQP,Estudiante,6to grado,AZUA,1,0.3,1
2022,6,IQP,Estudiante,6to grado,LA VEGA,1,1.8,1
2022,6,IQP,Estudiante,6to grado,NAGUA,2,35.0,10
2022,6,IQP,Estudiante,6to grado,PUERTO PLATA,1,4.7,1
2022,6,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,0.2,1
2022,6,IQP,Estudiante,6to grado,SANTIAGO,10,41.5,16
2022,6,IQP,Estudiante,6to grado,SANTO DOMINGO,36,107.8,50
2022,6,IQP,Estudiante,6to grado,Sin ubicación,43,222.4,91
2022,6,IQP,Parent,No especificado,Sin ubicación,1,0.2,2
2022,6,IQP,Sin rol,No especificado,Sin ubicación,1,240.6,19
2022,7,IQP,Admin,No especificado,Sin ubicación,1,3.0,4
2022,7,IQP,Docente,6to grado,BARAHONA,1,24.5,5
2022,7,IQP,Docente,6to grado,MAO,12,46.6,24
2022,7,IQP,Docente,6to grado,SANTO DOMINGO,5,15.6,6
2022,7,IQP,Docente,6to grado,Sin ubicación,10,8.0,13
2022,7,IQP,Estudiante,1er grado,BARAHONA,1,0.3,1
2022,7,IQP,Estudiante,1er grado,HIGUEY,1,12.0,2
2022,7,IQP,Estudiante,1er grado,SANTO DOMINGO,1,0.5,2
2022,7,IQP,Estudiante,1er grado,Sin ubicación,2,1.0,4
2022,7,IQP,Estudiante,2do grado,AZUA,1,15.4,3
2022,7,IQP,Estudiante,2do grado,SANTO DOMINGO,2,0.9,2
2022,7,IQP,Estudiante,2do grado,Sin ubicación,2,2.2,2
2022,7,IQP,Estudiante,3er grado,SAN CRISTOBAL,1,1.4,1
2022,7,IQP,Estudiante,3er grado,SANTIAGO,1,0.4,1
2022,7,IQP,Estudiante,3er grado,SANTO DOMINGO,7,4.0,7
2022,7,IQP,Estudiante,3er grado,Sin ubicación,5,27.1,9
2022,7,IQP,Estudiante,4to grado,MAO,1,1.8,1
2022,7,IQP,Estudiante,4to grado,SANTO DOMINGO,2,6.8,2
2022,7,IQP,Estudiante,4to grado,Sin ubicación,2,57.1,11
2022,7,IQP,Estudiante,5to grado,AZUA,1,24.4,5
2022,7,IQP,Estudiante,5to grado,BARAHONA,1,0.2,2
2022,7,IQP,Estudiante,5to grado,LA VEGA,2,18.3,7
2022,7,IQP,Estudiante,5to grado,SANTIAGO,1,0.5,1
2022,7,IQP,Estudiante,5to grado,Sin ubicación,3,21.6,6
2022,7,IQP,Estudiante,6to grado,AZUA,2,2.0,2
2022,7,IQP,Estudiante,6to grado,BAHORUCO,2,0.6,2
2022,7,IQP,Estudiante,6to grado,HIGUEY,3,2.8,3
2022,7,IQP,Estudiante,6to grado,LA VEGA,1,0.5,2
2022,7,IQP,Estudiante,6to grado,MAO,1,9.7,14
2022,7,IQP,Estudiante,6to grado,MONTE PLATA,1,3.2,1
2022,7,IQP,Estudiante,6to grado,NAGUA,1,1.7,2
2022,7,IQP,Estudiante,6to grado,SAN CRISTOBAL,1,0.3,3
2022,7,IQP,Estudiante,6to grado,SAN FRANCISCO DE MACORIS,1,0.0,1
2022,7,IQP,Estudiante,6to grado,SAN JUAN DE LA MAGUANA,1,9.5,2
2022,7,IQP,Estudiante,6to grado,SAN PEDRO DE MACORIS,3,9.2,4
2022,7,IQP,Estudiante,6to grado,SANTIAGO,2,2.0,2
